train,valid
0.01759791792209532,0.014689338381645406
0.010002774706702116,0.010198789280928244
0.008282926443940413,0.008560684423561499
0.007477525500024655,0.007905242828189567
0.006935697133793855,0.007446495305960346
0.006465514354816854,0.00692817090957123
0.006074899057450611,0.006526807251914291
0.005753869562646124,0.00621866665270393
0.0054874312939809395,0.005990269872698055
0.005262167152287419,0.005831074666611518
0.005067726350458923,0.005671903301196493
0.004899243717945652,0.005559361652488921
0.004752645628955732,0.005462171972557238
0.004625364902741048,0.005366893909325835
0.004514837107345113,0.005320924260078152
